source_id,owner,status,last_reviewed,declared_scope,notes
na-compensation-professional-2025,compensation_owner,active,2025-10-01,internal,metadata pending reconciliation
na-agreement-metropolitan-2025,collective_rules_owner,active,2025-09-01,employee,synthetic registry row
na-faq-thirteenth-pay-v1,payroll_owner,active,2026-01-08,employee,synthetic registry row
na-faq-admission-v1,admission_owner,active,2026-01-08,employee,synthetic registry row
na-faq-absence-leave-v1,leave_owner,active,2026-01-08,employee,synthetic registry row
na-faq-employment-contract-v1,employment_owner,active,2026-01-08,employee,synthetic registry row
na-faq-personal-data-v1,personal_data_owner,active,2026-01-08,employee,synthetic registry row
na-faq-termination-v1,termination_owner,active,2026-01-08,employee,synthetic registry row
na-faq-vacation-v1,vacation_owner,active,2026-01-08,employee,metadata pending reconciliation
na-faq-social-contributions-v1,payroll_owner,active,2026-01-08,employee,synthetic registry row
na-faq-payroll-v1,payroll_owner,active,2026-01-08,employee,synthetic registry row
na-faq-overtime-v1,timekeeping_owner,active,2026-01-08,employee,synthetic registry row
na-faq-timekeeping-v1,timekeeping_owner,active,2026-01-08,employee,synthetic registry row
na-faq-other-topics-v1,people_operations_owner,active,2026-01-08,employee,synthetic registry row
na-faq-health-safety-v1,health_safety_owner,active,2026-01-08,employee,synthetic registry row
na-agreement-planalto-2025,collective_rules_owner,active,2025-08-01,employee,synthetic registry row
na-people-ops-process-map-r7,people_operations_owner,pending,2026-02-04,internal,metadata pending reconciliation
na-company-rules-matrix-v6,corporate_governance_owner,active,2026-01-15,internal,synthetic registry row
na-timekeeping-policy-v4,timekeeping_owner,active,2026-01-05,employee,synthetic registry row
na-termination-policy-v3,termination_owner,active,2026-01-10,employee,synthetic registry row
na-admission-policy-v5,admission_owner,active,2026-02-03,employee,synthetic registry row
na-hiring-process-v4,admission_owner,active,2026-02-03,internal,synthetic registry row
na-time-control-process-v3,timekeeping_owner,active,2026-01-05,internal,synthetic registry row
na-termination-process-v5,termination_owner,active,2026-01-10,internal,synthetic registry row
na-vacation-process-v4,vacation_owner,active,2026-01-12,internal,metadata pending reconciliation
na-payroll-process-v6,payroll_owner,active,2026-01-08,internal,synthetic registry row
na-safety-process-v2,health_safety_owner,active,2026-01-16,employee,synthetic registry row
