DOCUMENTO SINTÉTICO | Checklist operacional de ingresso
source_id=na-admission-checklist-v8 | version=8.0
estado=approved | vigência=2026-02-03
extração=structured | formato_origem=XLSX

item_id,relationship,stage,control,evidence,state,owner
CHK-0001,apprentice,first_day,base,EVID-0001,required,first_day_owner
CHK-0002,intern,identity,relationship,EVID-0002,required,identity_owner
CHK-0003,employee,formalization,approval,EVID-0003,required,formalization_owner
CHK-0004,apprentice,validation,secure_channel,EVID-0004,required,validation_owner
CHK-0005,intern,documents,event_state,EVID-0005,required,documents_owner
CHK-0006,employee,intake,entity,EVID-0006,required,intake_owner
CHK-0007,apprentice,first_day,base,EVID-0007,required,first_day_owner
CHK-0008,intern,identity,relationship,EVID-0008,required,identity_owner
CHK-0009,employee,formalization,approval,EVID-0009,required,formalization_owner
CHK-0010,apprentice,validation,secure_channel,EVID-0010,required,validation_owner
CHK-0011,intern,documents,event_state,EVID-0011,required,documents_owner
CHK-0012,employee,intake,entity,EVID-0012,required,intake_owner
CHK-0013,apprentice,first_day,base,EVID-0013,required,first_day_owner
CHK-0014,intern,identity,relationship,EVID-0014,required,identity_owner
CHK-0015,employee,formalization,approval,EVID-0015,required,formalization_owner
CHK-0016,apprentice,validation,secure_channel,EVID-0016,required,validation_owner
CHK-0017,intern,documents,event_state,EVID-0017,required,documents_owner
CHK-0018,employee,intake,entity,EVID-0018,required,intake_owner
CHK-0019,apprentice,first_day,base,EVID-0019,required,first_day_owner
CHK-0020,intern,identity,relationship,EVID-0020,required,identity_owner
CHK-0021,employee,formalization,approval,EVID-0021,required,formalization_owner
CHK-0022,apprentice,validation,secure_channel,EVID-0022,required,validation_owner
CHK-0023,intern,documents,event_state,EVID-0023,manual_review,documents_owner
CHK-0024,employee,intake,entity,EVID-0024,required,intake_owner
CHK-0025,apprentice,first_day,base,EVID-0025,required,first_day_owner
CHK-0026,intern,identity,relationship,EVID-0026,required,identity_owner
CHK-0027,employee,formalization,approval,EVID-0027,required,formalization_owner
CHK-0028,apprentice,validation,secure_channel,EVID-0028,required,validation_owner
CHK-0029,intern,documents,event_state,EVID-0029,required,documents_owner
CHK-0030,employee,intake,entity,EVID-0030,required,intake_owner
CHK-0031,apprentice,first_day,base,EVID-0031,required,first_day_owner
CHK-0032,intern,identity,relationship,EVID-0032,required,identity_owner
CHK-0033,employee,formalization,approval,EVID-0033,required,formalization_owner
CHK-0034,apprentice,validation,secure_channel,EVID-0034,required,validation_owner
CHK-0035,intern,documents,event_state,EVID-0035,required,documents_owner
CHK-0036,employee,intake,entity,EVID-0036,required,intake_owner
CHK-0037,apprentice,first_day,base,EVID-0037,required,first_day_owner
CHK-0038,intern,identity,relationship,EVID-0038,required,identity_owner
CHK-0039,employee,formalization,approval,EVID-0039,required,formalization_owner
CHK-0040,apprentice,validation,secure_channel,EVID-0040,required,validation_owner
CHK-0041,intern,documents,event_state,EVID-0041,required,documents_owner
CHK-0042,employee,intake,entity,EVID-0042,required,intake_owner
CHK-0043,apprentice,first_day,base,EVID-0043,required,first_day_owner
CHK-0044,intern,identity,relationship,EVID-0044,required,identity_owner
CHK-0045,employee,formalization,approval,EVID-0045,required,formalization_owner
CHK-0046,apprentice,validation,secure_channel,EVID-0046,manual_review,validation_owner
CHK-0047,intern,documents,event_state,EVID-0047,required,documents_owner
CHK-0048,employee,intake,entity,EVID-0048,required,intake_owner
CHK-0049,apprentice,first_day,base,EVID-0049,required,first_day_owner
CHK-0050,intern,identity,relationship,EVID-0050,required,identity_owner
CHK-0051,employee,formalization,approval,EVID-0051,required,formalization_owner
CHK-0052,apprentice,validation,secure_channel,EVID-0052,required,validation_owner
CHK-0053,intern,documents,event_state,EVID-0053,required,documents_owner
CHK-0054,employee,intake,entity,EVID-0054,required,intake_owner
CHK-0055,apprentice,first_day,base,EVID-0055,required,first_day_owner
CHK-0056,intern,identity,relationship,EVID-0056,required,identity_owner
CHK-0057,employee,formalization,approval,EVID-0057,required,formalization_owner
CHK-0058,apprentice,validation,secure_channel,EVID-0058,required,validation_owner
CHK-0059,intern,documents,event_state,EVID-0059,required,documents_owner
CHK-0060,employee,intake,entity,EVID-0060,required,intake_owner
CHK-0061,apprentice,first_day,base,EVID-0061,required,first_day_owner
CHK-0062,intern,identity,relationship,EVID-0062,required,identity_owner
CHK-0063,employee,formalization,approval,EVID-0063,required,formalization_owner
CHK-0064,apprentice,validation,secure_channel,EVID-0064,required,validation_owner
CHK-0065,intern,documents,event_state,EVID-0065,required,documents_owner
CHK-0066,employee,intake,entity,EVID-0066,required,intake_owner
CHK-0067,apprentice,first_day,base,EVID-0067,required,first_day_owner
CHK-0068,intern,identity,relationship,EVID-0068,required,identity_owner
CHK-0069,employee,formalization,approval,EVID-0069,manual_review,formalization_owner
CHK-0070,apprentice,validation,secure_channel,EVID-0070,required,validation_owner
CHK-0071,intern,documents,event_state,EVID-0071,required,documents_owner
CHK-0072,employee,intake,entity,EVID-0072,required,intake_owner
CHK-0073,apprentice,first_day,base,EVID-0073,required,first_day_owner
CHK-0074,intern,identity,relationship,EVID-0074,required,identity_owner
CHK-0075,employee,formalization,approval,EVID-0075,required,formalization_owner
CHK-0076,apprentice,validation,secure_channel,EVID-0076,required,validation_owner
CHK-0077,intern,documents,event_state,EVID-0077,required,documents_owner
CHK-0078,employee,intake,entity,EVID-0078,required,intake_owner
CHK-0079,apprentice,first_day,base,EVID-0079,required,first_day_owner
CHK-0080,intern,identity,relationship,EVID-0080,required,identity_owner
CHK-0081,employee,formalization,approval,EVID-0081,required,formalization_owner
CHK-0082,apprentice,validation,secure_channel,EVID-0082,required,validation_owner
CHK-0083,intern,documents,event_state,EVID-0083,required,documents_owner
CHK-0084,employee,intake,entity,EVID-0084,required,intake_owner
CHK-0085,apprentice,first_day,base,EVID-0085,required,first_day_owner
CHK-0086,intern,identity,relationship,EVID-0086,required,identity_owner
CHK-0087,employee,formalization,approval,EVID-0087,required,formalization_owner
CHK-0088,apprentice,validation,secure_channel,EVID-0088,required,validation_owner
CHK-0089,intern,documents,event_state,EVID-0089,required,documents_owner
CHK-0090,employee,intake,entity,EVID-0090,required,intake_owner
CHK-0091,apprentice,first_day,base,EVID-0091,required,first_day_owner
CHK-0092,intern,identity,relationship,EVID-0092,manual_review,identity_owner
CHK-0093,employee,formalization,approval,EVID-0093,required,formalization_owner
CHK-0094,apprentice,validation,secure_channel,EVID-0094,required,validation_owner
CHK-0095,intern,documents,event_state,EVID-0095,required,documents_owner
CHK-0096,employee,intake,entity,EVID-0096,required,intake_owner
CHK-0097,apprentice,first_day,base,EVID-0097,required,first_day_owner
CHK-0098,intern,identity,relationship,EVID-0098,required,identity_owner
CHK-0099,employee,formalization,approval,EVID-0099,required,formalization_owner
CHK-0100,apprentice,validation,secure_channel,EVID-0100,required,validation_owner
CHK-0101,intern,documents,event_state,EVID-0101,required,documents_owner
CHK-0102,employee,intake,entity,EVID-0102,required,intake_owner
CHK-0103,apprentice,first_day,base,EVID-0103,required,first_day_owner
CHK-0104,intern,identity,relationship,EVID-0104,required,identity_owner
CHK-0105,employee,formalization,approval,EVID-0105,required,formalization_owner
CHK-0106,apprentice,validation,secure_channel,EVID-0106,required,validation_owner
CHK-0107,intern,documents,event_state,EVID-0107,required,documents_owner
CHK-0108,employee,intake,entity,EVID-0108,required,intake_owner
CHK-0109,apprentice,first_day,base,EVID-0109,required,first_day_owner
CHK-0110,intern,identity,relationship,EVID-0110,required,identity_owner
CHK-0111,employee,formalization,approval,EVID-0111,required,formalization_owner
CHK-0112,apprentice,validation,secure_channel,EVID-0112,required,validation_owner
CHK-0113,intern,documents,event_state,EVID-0113,required,documents_owner
CHK-0114,employee,intake,entity,EVID-0114,required,intake_owner
CHK-0115,apprentice,first_day,base,EVID-0115,manual_review,first_day_owner
CHK-0116,intern,identity,relationship,EVID-0116,required,identity_owner
CHK-0117,employee,formalization,approval,EVID-0117,required,formalization_owner
CHK-0118,apprentice,validation,secure_channel,EVID-0118,required,validation_owner
CHK-0119,intern,documents,event_state,EVID-0119,required,documents_owner
CHK-0120,employee,intake,entity,EVID-0120,required,intake_owner
CHK-0121,apprentice,first_day,base,EVID-0121,required,first_day_owner
CHK-0122,intern,identity,relationship,EVID-0122,required,identity_owner
CHK-0123,employee,formalization,approval,EVID-0123,required,formalization_owner
CHK-0124,apprentice,validation,secure_channel,EVID-0124,required,validation_owner
CHK-0125,intern,documents,event_state,EVID-0125,required,documents_owner
CHK-0126,employee,intake,entity,EVID-0126,required,intake_owner
CHK-0127,apprentice,first_day,base,EVID-0127,required,first_day_owner
CHK-0128,intern,identity,relationship,EVID-0128,required,identity_owner
CHK-0129,employee,formalization,approval,EVID-0129,required,formalization_owner
CHK-0130,apprentice,validation,secure_channel,EVID-0130,required,validation_owner
CHK-0131,intern,documents,event_state,EVID-0131,required,documents_owner
CHK-0132,employee,intake,entity,EVID-0132,required,intake_owner
CHK-0133,apprentice,first_day,base,EVID-0133,required,first_day_owner
CHK-0134,intern,identity,relationship,EVID-0134,required,identity_owner
CHK-0135,employee,formalization,approval,EVID-0135,required,formalization_owner
CHK-0136,apprentice,validation,secure_channel,EVID-0136,required,validation_owner
CHK-0137,intern,documents,event_state,EVID-0137,required,documents_owner
CHK-0138,employee,intake,entity,EVID-0138,manual_review,intake_owner
CHK-0139,apprentice,first_day,base,EVID-0139,required,first_day_owner
CHK-0140,intern,identity,relationship,EVID-0140,required,identity_owner
CHK-0141,employee,formalization,approval,EVID-0141,required,formalization_owner
CHK-0142,apprentice,validation,secure_channel,EVID-0142,required,validation_owner
CHK-0143,intern,documents,event_state,EVID-0143,required,documents_owner
CHK-0144,employee,intake,entity,EVID-0144,required,intake_owner
CHK-0145,apprentice,first_day,base,EVID-0145,required,first_day_owner
CHK-0146,intern,identity,relationship,EVID-0146,required,identity_owner
CHK-0147,employee,formalization,approval,EVID-0147,required,formalization_owner
CHK-0148,apprentice,validation,secure_channel,EVID-0148,required,validation_owner
CHK-0149,intern,documents,event_state,EVID-0149,required,documents_owner
CHK-0150,employee,intake,entity,EVID-0150,required,intake_owner
CHK-0151,apprentice,first_day,base,EVID-0151,required,first_day_owner
CHK-0152,intern,identity,relationship,EVID-0152,required,identity_owner
CHK-0153,employee,formalization,approval,EVID-0153,required,formalization_owner
CHK-0154,apprentice,validation,secure_channel,EVID-0154,required,validation_owner
CHK-0155,intern,documents,event_state,EVID-0155,required,documents_owner
CHK-0156,employee,intake,entity,EVID-0156,required,intake_owner
CHK-0157,apprentice,first_day,base,EVID-0157,required,first_day_owner
CHK-0158,intern,identity,relationship,EVID-0158,required,identity_owner
CHK-0159,employee,formalization,approval,EVID-0159,required,formalization_owner
CHK-0160,apprentice,validation,secure_channel,EVID-0160,required,validation_owner
CHK-0161,intern,documents,event_state,EVID-0161,manual_review,documents_owner
CHK-0162,employee,intake,entity,EVID-0162,required,intake_owner
CHK-0163,apprentice,first_day,base,EVID-0163,required,first_day_owner
CHK-0164,intern,identity,relationship,EVID-0164,required,identity_owner
CHK-0165,employee,formalization,approval,EVID-0165,required,formalization_owner
CHK-0166,apprentice,validation,secure_channel,EVID-0166,required,validation_owner
CHK-0167,intern,documents,event_state,EVID-0167,required,documents_owner
CHK-0168,employee,intake,entity,EVID-0168,required,intake_owner
CHK-0169,apprentice,first_day,base,EVID-0169,required,first_day_owner
CHK-0170,intern,identity,relationship,EVID-0170,required,identity_owner
CHK-0171,employee,formalization,approval,EVID-0171,required,formalization_owner
CHK-0172,apprentice,validation,secure_channel,EVID-0172,required,validation_owner
CHK-0173,intern,documents,event_state,EVID-0173,required,documents_owner
CHK-0174,employee,intake,entity,EVID-0174,required,intake_owner
CHK-0175,apprentice,first_day,base,EVID-0175,required,first_day_owner
CHK-0176,intern,identity,relationship,EVID-0176,required,identity_owner
CHK-0177,employee,formalization,approval,EVID-0177,required,formalization_owner
CHK-0178,apprentice,validation,secure_channel,EVID-0178,required,validation_owner
CHK-0179,intern,documents,event_state,EVID-0179,required,documents_owner
CHK-0180,employee,intake,entity,EVID-0180,required,intake_owner
CHK-0181,apprentice,first_day,base,EVID-0181,required,first_day_owner
CHK-0182,intern,identity,relationship,EVID-0182,required,identity_owner
CHK-0183,employee,formalization,approval,EVID-0183,required,formalization_owner
CHK-0184,apprentice,validation,secure_channel,EVID-0184,manual_review,validation_owner
CHK-0185,intern,documents,event_state,EVID-0185,required,documents_owner
CHK-0186,employee,intake,entity,EVID-0186,required,intake_owner
CHK-0187,apprentice,first_day,base,EVID-0187,required,first_day_owner
CHK-0188,intern,identity,relationship,EVID-0188,required,identity_owner
CHK-0189,employee,formalization,approval,EVID-0189,required,formalization_owner
CHK-0190,apprentice,validation,secure_channel,EVID-0190,required,validation_owner
CHK-0191,intern,documents,event_state,EVID-0191,required,documents_owner
CHK-0192,employee,intake,entity,EVID-0192,required,intake_owner
CHK-0193,apprentice,first_day,base,EVID-0193,required,first_day_owner
CHK-0194,intern,identity,relationship,EVID-0194,required,identity_owner
CHK-0195,employee,formalization,approval,EVID-0195,required,formalization_owner
CHK-0196,apprentice,validation,secure_channel,EVID-0196,required,validation_owner
CHK-0197,intern,documents,event_state,EVID-0197,required,documents_owner
CHK-0198,employee,intake,entity,EVID-0198,required,intake_owner
CHK-0199,apprentice,first_day,base,EVID-0199,required,first_day_owner
CHK-0200,intern,identity,relationship,EVID-0200,required,identity_owner
CHK-0201,employee,formalization,approval,EVID-0201,required,formalization_owner
CHK-0202,apprentice,validation,secure_channel,EVID-0202,required,validation_owner
CHK-0203,intern,documents,event_state,EVID-0203,required,documents_owner
CHK-0204,employee,intake,entity,EVID-0204,required,intake_owner
