DOCUMENTO SINTÉTICO | Matriz de sistemas e acessos por perfil
source_id=na-systems-access-matrix-v9 | version=9.4
estado=approved | vigência=2026-02-19
extração=structured | formato_origem=XLSX

version,entity,role,relationship,system,bundle,trigger,approver,target,notes
9.4,NA_NORTE,privacy,employee,Brisa,privacy_brisa,papel_treinamento_e_entidade_confirmados,privacy_owner,D+2,Acesso não concede consulta livre a dados individuais
9.4,NA_SUL,lider,employee,Doca,lider_doca,papel_treinamento_e_entidade_confirmados,lider_owner,D+3,Acesso não concede consulta livre a dados individuais
9.4,NA_SERVICOS,auditoria,employee,Prisma,auditoria_prisma,papel_treinamento_e_entidade_confirmados,auditoria_owner,D+4,Acesso não concede consulta livre a dados individuais
9.4,NA_NORTE,people_ops,employee,Porto,people_ops_porto,papel_treinamento_e_entidade_confirmados,people_ops_owner,D+5,Acesso não concede consulta livre a dados individuais
9.4,NA_SUL,colaborador,employee,Maré,colaborador_maré,formalização_confirmada,colaborador_owner,D+1,Acesso não concede consulta livre a dados individuais
9.4,NA_SERVICOS,privacy,employee,Lume,privacy_lume,papel_treinamento_e_entidade_confirmados,privacy_owner,D+2,Acesso não concede consulta livre a dados individuais
9.4,NA_NORTE,lider,employee,Vela,lider_vela,papel_treinamento_e_entidade_confirmados,lider_owner,D+3,Acesso não concede consulta livre a dados individuais
9.4,NA_SUL,auditoria,employee,Farol,auditoria_farol,papel_treinamento_e_entidade_confirmados,auditoria_owner,D+4,Acesso não concede consulta livre a dados individuais
9.4,NA_SERVICOS,people_ops,employee,Brisa,people_ops_brisa,papel_treinamento_e_entidade_confirmados,people_ops_owner,D+5,Acesso não concede consulta livre a dados individuais
9.4,NA_NORTE,colaborador,employee,Doca,colaborador_doca,formalização_confirmada,colaborador_owner,D+1,Acesso não concede consulta livre a dados individuais
9.4,NA_SUL,privacy,employee,Prisma,privacy_prisma,papel_treinamento_e_entidade_confirmados,privacy_owner,D+2,Acesso não concede consulta livre a dados individuais
9.4,NA_SERVICOS,lider,employee,Porto,lider_porto,papel_treinamento_e_entidade_confirmados,lider_owner,D+3,Acesso não concede consulta livre a dados individuais
9.4,NA_NORTE,auditoria,employee,Maré,auditoria_maré,papel_treinamento_e_entidade_confirmados,auditoria_owner,D+4,Acesso não concede consulta livre a dados individuais
9.4,NA_SUL,people_ops,employee,Lume,people_ops_lume,papel_treinamento_e_entidade_confirmados,people_ops_owner,D+5,Acesso não concede consulta livre a dados individuais
9.4,NA_SERVICOS,colaborador,employee,Vela,colaborador_vela,formalização_confirmada,colaborador_owner,D+1,Acesso não concede consulta livre a dados individuais
9.4,NA_NORTE,privacy,employee,Farol,privacy_farol,papel_treinamento_e_entidade_confirmados,privacy_owner,D+2,Acesso não concede consulta livre a dados individuais
